CustomerID;FirstName;LastName;EmailAddress;LocationCity;LocationState;LocationCountry;Gender;AgeGroup;CustomerType
153;Jane;Doe;jane.doe153@example.com;New York;TKY;Japan;Female;35-44;VIP
154;John;Jones;john.jones154@example.com;Tokyo;NY;USA;Female;35-44;VIP
155;John;Williams;john.williams155@example.com;Berlin;TKY;Germany;Other;65+;VIP
156;Peter;Smith;peter.smith156@example.com;Toronto;ON;Japan;Other;25-34;VIP
157;John;Williams;john.williams157@example.com;Toronto;NSW;Canada;Female;45-54;VIP
158;John;Davis;john.davis158@example.com;Berlin;NY;Germany;Male;18-24;VIP
159;Emily;Williams;emily.williams159@example.com;New York;NY;Canada;Female;45-54;VIP
160;Jane;Williams;jane.williams160@example.com;Toronto;BE;Germany;Male;18-24;VIP
161;Peter;Miller;peter.miller161@example.com;New York;IDF;UK;Female;18-24;VIP
162;Peter;Smith;peter.smith162@example.com;Berlin;NSW;Australia;Female;25-34;VIP
163;Laura;Williams;laura.williams163@example.com;New York;ENG;Germany;Male;65+;VIP
164;David;Davis;david.davis164@example.com;New York;NSW;France;Male;45-54;VIP
165;John;Miller;john.miller165@example.com;Toronto;ON;Australia;Other;35-44;VIP
166;Jane;Williams;jane.williams166@example.com;Paris;NY;France;Other;45-54;VIP
167;David;Davis;david.davis167@example.com;Berlin;IDF;Germany;Male;55-64;VIP
168;David;Williams;david.williams168@example.com;Paris;TKY;Japan;Female;65+;VIP
169;Laura;Smith;laura.smith169@example.com;Toronto;IDF;Australia;Male;35-44;VIP
170;Emily;Garcia;emily.garcia170@example.com;Toronto;TKY;Germany;Male;25-34;VIP
171;Emily;Smith;emily.smith171@example.com;Paris;NY;USA;Other;18-24;VIP
172;Jane;Miller;jane.miller172@example.com;New York;ENG;Canada;Other;65+;VIP
173;Chris;Smith;chris.smith173@example.com;London;BE;Germany;Female;35-44;VIP
174;Chris;Williams;chris.williams174@example.com;London;ENG;UK;Male;65+;Returning
175;Laura;Garcia;laura.garcia175@example.com;Toronto;ENG;Germany;Male;18-24;VIP
176;Chris;Davis;chris.davis176@example.com;London;ON;Japan;Female;35-44;VIP
177;Sarah;Jones;sarah.jones177@example.com;Paris;NSW;Canada;Female;55-64;VIP
178;Emily;Brown;emily.brown178@example.com;Sydney;ON;Japan;Other;18-24;VIP
179;David;Doe;david.doe179@example.com;New York;TKY;USA;Female;65+;VIP
180;Peter;Doe;peter.doe180@example.com;Sydney;ENG;USA;Other;65+;VIP
181;Sarah;Brown;sarah.brown181@example.com;New York;NY;Canada;Male;25-34;VIP
182;Emily;Smith;emily.smith182@example.com;Sydney;ON;Canada;Male;18-24;VIP
183;Emily;Williams;emily.williams183@example.com;Berlin;TKY;Australia;Male;18-24;VIP
184;Emily;Brown;emily.brown184@example.com;Toronto;BE;UK;Female;55-64;VIP
185;David;Davis;david.davis185@example.com;New York;NSW;France;Other;18-24;VIP
186;Laura;Garcia;laura.garcia186@example.com;Berlin;ENG;France;Female;25-34;VIP
187;Emily;Williams;emily.williams187@example.com;Sydney;IDF;Japan;Female;45-54;VIP
188;Sarah;Brown;sarah.brown188@example.com;Sydney;ENG;USA;Male;55-64;VIP
189;Chris;Garcia;chris.garcia189@example.com;Tokyo;NY;Japan;Male;55-64;VIP
190;Laura;Smith;laura.smith190@example.com;Paris;IDF;Japan;Male;35-44;VIP
191;John;Miller;john.miller191@example.com;Berlin;IDF;USA;Other;25-34;VIP
192;Laura;Miller;laura.miller192@example.com;Tokyo;BE;USA;Female;25-34;VIP
193;Jane;Miller;jane.miller193@example.com;Paris;ENG;USA;Other;25-34;VIP
194;Sarah;Jones;sarah.jones194@example.com;New York;ENG;Australia;Male;45-54;VIP
195;Jane;Doe;jane.doe195@example.com;Tokyo;IDF;USA;Female;25-34;VIP
196;Jane;Garcia;jane.garcia196@example.com;Sydney;TKY;Canada;Female;18-24;VIP
197;Laura;Jones;laura.jones197@example.com;New York;ENG;France;Male;25-34;VIP
198;Emily;Williams;emily.williams198@example.com;Paris;NY;UK;Female;65+;VIP
199;Peter;Davis;peter.davis199@example.com;London;TKY;France;Other;35-44;VIP
200;David;Williams;david.williams200@example.com;Sydney;ON;Australia;Female;35-44;VIP
201;Jane;Williams;jane.williams201@example.com;Berlin;IDF;France;Female;18-24;VIP
202;Emily;Smith;emily.smith202@example.com;Toronto;IDF;Japan;Male;25-34;VIP
203;Sarah;Jones;sarah.jones203@example.com;Toronto;NY;USA;Female;35-44;VIP
204;Jane;Williams;jane.williams204@example.com;London;ON;Australia;Male;55-64;VIP
205;Chris;Garcia;chris.garcia205@example.com;Paris;TKY;Japan;Other;35-44;VIP
206;Jane;Williams;jane.williams206@example.com;Toronto;NY;Canada;Other;25-34;VIP
207;David;Garcia;david.garcia207@example.com;New York;BE;Japan;Other;45-54;VIP
208;Peter;Garcia;peter.garcia208@example.com;London;TKY;Germany;Female;18-24;VIP
209;Sarah;Smith;sarah.smith209@example.com;Paris;IDF;Australia;Other;65+;VIP
210;Peter;Williams;peter.williams210@example.com;Paris;BE;Japan;Other;65+;VIP
211;Chris;Williams;chris.williams211@example.com;London;BE;France;Male;18-24;VIP
212;Emily;Jones;emily.jones212@example.com;London;ENG;USA;Male;35-44;VIP
213;Peter;Smith;peter.smith213@example.com;New York;ON;France;Other;25-34;VIP
214;Jane;Miller;jane.miller214@example.com;Toronto;ENG;UK;Female;18-24;VIP
215;Laura;Smith;laura.smith215@example.com;Berlin;ENG;Canada;Other;55-64;VIP
216;John;Davis;john.davis216@example.com;Toronto;NY;Germany;Other;55-64;VIP
217;David;Jones;david.jones217@example.com;Paris;BE;Japan;Male;35-44;VIP
218;John;Miller;john.miller218@example.com;Toronto;TKY;USA;Female;18-24;VIP
219;Jane;Brown;jane.brown219@example.com;New York;ENG;France;Female;55-64;VIP
220;Laura;Garcia;laura.garcia220@example.com;Tokyo;BE;Japan;Female;18-24;VIP
221;Peter;Garcia;peter.garcia221@example.com;Berlin;NY;Canada;Male;35-44;VIP
222;Sarah;Doe;sarah.doe222@example.com;Berlin;NY;Australia;Other;35-44;VIP
223;David;Brown;david.brown223@example.com;Tokyo;IDF;France;Male;55-64;VIP
224;John;Garcia;john.garcia224@example.com;Tokyo;NY;Australia;Male;18-24;VIP
225;Jane;Brown;jane.brown225@example.com;London;IDF;France;Female;65+;VIP
226;Jane;Doe;jane.doe226@example.com;Sydney;ON;UK;Female;25-34;VIP
227;Peter;Brown;peter.brown227@example.com;Tokyo;ON;France;Female;35-44;VIP
228;Laura;Williams;laura.williams228@example.com;Paris;NSW;Germany;Male;25-34;VIP
229;Chris;Smith;chris.smith229@example.com;London;BE;Germany;Male;25-34;VIP
230;Jane;Davis;jane.davis230@example.com;London;ENG;UK;Female;18-24;VIP
231;Emily;Brown;emily.brown231@example.com;Sydney;IDF;Australia;Other;25-34;VIP
232;Emily;Jones;emily.jones232@example.com;London;BE;Japan;Male;18-24;VIP
233;Peter;Davis;peter.davis233@example.com;Berlin;ENG;Japan;Other;18-24;VIP
234;Sarah;Brown;sarah.brown234@example.com;New York;TKY;UK;Female;55-64;VIP
235;Chris;Doe;chris.doe235@example.com;Toronto;ENG;France;Other;18-24;VIP
236;David;Brown;david.brown236@example.com;New York;TKY;Germany;Female;45-54;VIP
237;John;Brown;john.brown237@example.com;Paris;ON;Germany;Female;25-34;VIP
238;Sarah;Williams;sarah.williams238@example.com;Berlin;NSW;UK;Male;35-44;VIP
239;Laura;Smith;laura.smith239@example.com;Toronto;TKY;Australia;Female;55-64;VIP
240;Chris;Miller;chris.miller240@example.com;London;BE;France;Male;55-64;VIP
241;Emily;Garcia;emily.garcia241@example.com;Berlin;ENG;Japan;Male;18-24;VIP
242;Emily;Miller;emily.miller242@example.com;Tokyo;BE;Australia;Female;55-64;VIP
243;Jane;Doe;jane.doe243@example.com;New York;NSW;USA;Other;45-54;VIP
244;Peter;Brown;peter.brown244@example.com;Tokyo;NSW;Australia;Male;35-44;VIP
245;Sarah;Brown;sarah.brown245@example.com;New York;NY;UK;Other;65+;VIP
246;Emily;Garcia;emily.garcia246@example.com;Berlin;ENG;Canada;Male;35-44;VIP
247;David;Garcia;david.garcia247@example.com;Toronto;ENG;Australia;Female;18-24;VIP
248;Sarah;Garcia;sarah.garcia248@example.com;London;TKY;USA;Other;55-64;VIP
249;Chris;Miller;chris.miller249@example.com;Toronto;IDF;France;Other;55-64;VIP
250;Peter;Doe;peter.doe250@example.com;Paris;BE;Germany;Female;18-24;VIP
251;Laura;Brown;laura.brown251@example.com;Tokyo;ENG;Canada;Female;65+;VIP
252;Sarah;Brown;sarah.brown252@example.com;London;ENG;Canada;Female;45-54;VIP
253;Chris;Smith;chris.smith253@example.com;Berlin;ON;Germany;Female;35-44;VIP
254;John;Miller;john.miller254@example.com;Sydney;TKY;France;Female;35-44;VIP
255;David;Jones;david.jones255@example.com;New York;NSW;Japan;Male;55-64;VIP
256;Emily;Smith;emily.smith256@example.com;Toronto;ENG;Canada;Female;45-54;VIP
257;Laura;Miller;laura.miller257@example.com;Sydney;ON;USA;Female;65+;VIP
258;Peter;Miller;peter.miller258@example.com;Paris;NSW;USA;Other;45-54;VIP
259;Emily;Smith;emily.smith259@example.com;Berlin;ENG;Japan;Female;18-24;VIP
260;Laura;Williams;laura.williams260@example.com;London;NSW;Germany;Other;45-54;VIP
261;Chris;Smith;chris.smith261@example.com;Toronto;NY;Germany;Other;35-44;VIP
262;John;Doe;john.doe262@example.com;Tokyo;BE;France;Male;35-44;VIP
263;Sarah;Jones;sarah.jones263@example.com;Sydney;NY;UK;Male;45-54;VIP
264;Peter;Garcia;peter.garcia264@example.com;Tokyo;NY;Germany;Male;18-24;VIP
265;David;Williams;david.williams265@example.com;Paris;NY;Japan;Other;25-34;VIP
266;Sarah;Williams;sarah.williams266@example.com;New York;ON;USA;Male;55-64;VIP
267;Sarah;Jones;sarah.jones267@example.com;Sydney;IDF;France;Female;45-54;VIP
268;John;Jones;john.jones268@example.com;Berlin;NSW;USA;Male;25-34;VIP
269;Peter;Smith;peter.smith269@example.com;Paris;TKY;France;Other;25-34;VIP
270;David;Doe;david.doe270@example.com;London;ON;Australia;Male;65+;VIP
271;Emily;Miller;emily.miller271@example.com;London;IDF;Australia;Female;18-24;VIP
272;Emily;Jones;emily.jones272@example.com;London;NSW;UK;Other;55-64;VIP
273;Jane;Garcia;jane.garcia273@example.com;Sydney;TKY;Australia;Female;65+;VIP
274;Laura;Williams;laura.williams274@example.com;Tokyo;BE;Australia;Female;65+;VIP
275;Laura;Miller;laura.miller275@example.com;Toronto;ON;Germany;Other;55-64;VIP
276;Jane;Brown;jane.brown276@example.com;Tokyo;NY;France;Male;18-24;VIP
277;Laura;Smith;laura.smith277@example.com;London;ON;Australia;Male;45-54;VIP
278;Chris;Davis;chris.davis278@example.com;Toronto;ON;UK;Other;45-54;VIP
279;Peter;Davis;peter.davis279@example.com;New York;ENG;Japan;Other;18-24;VIP
280;John;Doe;john.doe280@example.com;London;ON;Australia;Other;45-54;VIP
281;Laura;Miller;laura.miller281@example.com;Tokyo;NSW;Germany;Male;45-54;VIP
282;Chris;Doe;chris.doe282@example.com;Toronto;IDF;Australia;Other;35-44;VIP
283;Emily;Williams;emily.williams283@example.com;Sydney;TKY;USA;Other;18-24;VIP
284;David;Smith;david.smith284@example.com;Toronto;NY;UK;Male;65+;VIP
285;Jane;Doe;jane.doe285@example.com;Toronto;NY;Japan;Male;25-34;VIP
286;John;Brown;john.brown286@example.com;Paris;ON;Canada;Other;18-24;VIP
287;David;Jones;david.jones287@example.com;Paris;ON;Japan;Female;65+;VIP
288;Sarah;Smith;sarah.smith288@example.com;Berlin;NY;Germany;Male;25-34;VIP
289;Emily;Miller;emily.miller289@example.com;New York;ENG;Canada;Male;45-54;VIP
290;Emily;Miller;emily.miller290@example.com;Berlin;IDF;Germany;Other;25-34;VIP
291;John;Brown;john.brown291@example.com;Paris;NY;UK;Male;55-64;VIP
292;Laura;Garcia;laura.garcia292@example.com;Toronto;BE;Japan;Female;55-64;VIP
293;David;Smith;david.smith293@example.com;Paris;TKY;Japan;Male;35-44;VIP
294;Peter;Davis;peter.davis294@example.com;Tokyo;NSW;UK;Male;55-64;VIP
295;Peter;Garcia;peter.garcia295@example.com;London;TKY;USA;Female;35-44;VIP
296;Jane;Davis;jane.davis296@example.com;New York;BE;USA;Female;18-24;VIP
297;Sarah;Garcia;sarah.garcia297@example.com;London;NY;France;Female;55-64;VIP
298;John;Williams;john.williams298@example.com;Toronto;ENG;Germany;Other;25-34;VIP
299;Jane;Miller;jane.miller299@example.com;Toronto;TKY;UK;Male;55-64;VIP
300;Chris;Miller;chris.miller300@example.com;Toronto;ENG;USA;Male;35-44;VIP
301;Chris;Smith;chris.smith301@example.com;London;TKY;Australia;Other;65+;VIP
302;Emily;Miller;emily.miller302@example.com;Tokyo;TKY;France;Male;25-34;VIP
303;Laura;Doe;laura.doe303@example.com;New York;ON;USA;Other;55-64;VIP
304;Peter;Jones;peter.jones304@example.com;Sydney;TKY;USA;Male;45-54;VIP
305;Chris;Williams;chris.williams305@example.com;Paris;ON;UK;Other;35-44;VIP
306;Laura;Jones;laura.jones306@example.com;Paris;BE;Japan;Male;45-54;VIP
307;Jane;Doe;jane.doe307@example.com;New York;ENG;Japan;Female;55-64;VIP
308;Laura;Garcia;laura.garcia308@example.com;Toronto;IDF;Australia;Other;65+;VIP
309;Sarah;Jones;sarah.jones309@example.com;Toronto;ON;Australia;Female;45-54;VIP
310;John;Brown;john.brown310@example.com;London;ENG;Japan;Other;55-64;VIP
311;Jane;Brown;jane.brown311@example.com;Sydney;NY;Japan;Other;45-54;VIP
312;Peter;Smith;peter.smith312@example.com;Paris;ON;UK;Male;45-54;Returning
313;Emily;Miller;emily.miller313@example.com;Toronto;NSW;France;Male;35-44;VIP
314;Jane;Davis;jane.davis314@example.com;Berlin;TKY;Canada;Female;25-34;VIP
315;Jane;Doe;jane.doe315@example.com;Berlin;ON;USA;Female;35-44;VIP
316;David;Davis;david.davis316@example.com;Paris;BE;Canada;Male;35-44;VIP
317;Laura;Brown;laura.brown317@example.com;London;BE;Canada;Male;25-34;VIP
318;Chris;Smith;chris.smith318@example.com;Sydney;ON;Australia;Other;25-34;VIP
319;Chris;Jones;chris.jones319@example.com;Paris;ON;France;Male;18-24;VIP
320;Laura;Miller;laura.miller320@example.com;New York;IDF;Canada;Male;18-24;VIP
321;Emily;Doe;emily.doe321@example.com;London;IDF;Japan;Other;25-34;VIP
322;Peter;Jones;peter.jones322@example.com;Sydney;BE;UK;Other;55-64;VIP
323;Peter;Brown;peter.brown323@example.com;New York;IDF;Australia;Other;65+;VIP
